# Detect_Convert_Times, Contour_Perspective_Times, Mapping_Times, Total_Times
4.089009761810302734e-01,4.701347351074218750e-01,0.000000000000000000e+00,9.160242080688476562e-01
1.999328136444091797e-01,3.695192337036132812e-01,0.000000000000000000e+00,5.759634971618652344e-01
2.270526885986328125e-01,3.296558856964111328e-01,0.000000000000000000e+00,5.627207756042480469e-01
2.009716033935546875e-01,3.422086238861083984e-01,1.000642776489257812e-03,5.486845970153808594e-01
1.886434555053710938e-01,3.754656314849853516e-01,1.000165939331054688e-03,5.701096057891845703e-01
2.079839706420898438e-01,3.893346786499023438e-01,0.000000000000000000e+00,6.013183593750000000e-01
2.239446640014648438e-01,3.591356277465820312e-01,0.000000000000000000e+00,5.888359546661376953e-01
2.176201343536376953e-01,3.906199932098388672e-01,1.000404357910156250e-03,6.142480373382568359e-01
2.368865013122558594e-01,3.385255336761474609e-01,0.000000000000000000e+00,5.804183483123779297e-01
2.243604660034179688e-01,3.990561962127685547e-01,1.002550125122070312e-03,6.290304660797119141e-01
2.187876701354980469e-01,3.886241912841796875e-01,0.000000000000000000e+00,6.124427318572998047e-01
2.307479381561279297e-01,3.831963539123535156e-01,0.000000000000000000e+00,6.184468269348144531e-01
2.389764785766601562e-01,3.819015026092529297e-01,0.000000000000000000e+00,6.253721714019775391e-01
2.452695369720458984e-01,3.825001716613769531e-01,0.000000000000000000e+00,6.324908733367919922e-01
2.452008724212646484e-01,3.830871582031250000e-01,0.000000000000000000e+00,6.327974796295166016e-01
2.387435436248779297e-01,5.303063392639160156e-01,1.000642776489257812e-03,7.743995189666748047e-01
4.757719039916992188e-01,8.610637187957763672e-01,0.000000000000000000e+00,1.343833446502685547e+00
5.005106925964355469e-01,7.451355457305908203e-01,0.000000000000000000e+00,1.255157709121704102e+00
4.692859649658203125e-01,6.257164478302001953e-01,2.997636795043945312e-03,1.111020565032958984e+00
4.805693626403808594e-01,6.557295322418212891e-01,0.000000000000000000e+00,1.146806955337524414e+00
4.585838317871093750e-01,6.667706966400146484e-01,0.000000000000000000e+00,1.134418249130249023e+00
4.599413871765136719e-01,6.547598838806152344e-01,1.502990722656250000e-03,1.126709938049316406e+00
4.681725502014160156e-01,6.769683361053466797e-01,0.000000000000000000e+00,1.152643203735351562e+00
4.692885875701904297e-01,7.180171012878417969e-01,0.000000000000000000e+00,1.196813106536865234e+00
4.656946659088134766e-01,8.149266242980957031e-01,9.996891021728515625e-04,1.290646076202392578e+00
2.148911952972412109e-01,3.997581005096435547e-01,0.000000000000000000e+00,6.186492443084716797e-01
2.299323081970214844e-01,3.798294067382812500e-01,9.999275207519531250e-04,6.147603988647460938e-01
2.181527614593505859e-01,4.065613746643066406e-01,0.000000000000000000e+00,6.287119388580322266e-01
2.318682670593261719e-01,3.876652717590332031e-01,9.999275207519531250e-04,6.235334873199462891e-01
3.156125545501708984e-01,3.919961452484130859e-01,0.000000000000000000e+00,7.106103897094726562e-01
2.497894763946533203e-01,3.697240352630615234e-01,1.003265380859375000e-03,6.245198249816894531e-01
2.299792766571044922e-01,3.727314472198486328e-01,0.000000000000000000e+00,6.062746047973632812e-01
2.407710552215576172e-01,3.661651611328125000e-01,0.000000000000000000e+00,6.099889278411865234e-01
2.423999309539794922e-01,3.592679500579833984e-01,1.000165939331054688e-03,6.056675910949707031e-01
2.499563694000244141e-01,3.871700763702392578e-01,0.000000000000000000e+00,6.401250362396240234e-01
2.456855773925781250e-01,4.033007621765136719e-01,0.000000000000000000e+00,6.524996757507324219e-01
2.411723136901855469e-01,3.765344619750976562e-01,0.000000000000000000e+00,6.206624507904052734e-01
2.446327209472656250e-01,3.667404651641845703e-01,0.000000000000000000e+00,6.153769493103027344e-01
2.539212703704833984e-01,3.798413276672363281e-01,9.996891021728515625e-04,6.377646923065185547e-01
2.503848075866699219e-01,3.703842163085937500e-01,0.000000000000000000e+00,6.237692832946777344e-01
2.612338066101074219e-01,3.915653228759765625e-01,0.000000000000000000e+00,6.558008193969726562e-01
2.520322799682617188e-01,3.903312683105468750e-01,0.000000000000000000e+00,6.474838256835937500e-01
2.308428287506103516e-01,3.801345825195312500e-01,9.996891021728515625e-04,6.164851188659667969e-01
2.375080585479736328e-01,3.646378517150878906e-01,9.496212005615234375e-04,6.070885658264160156e-01
2.332308292388916016e-01,3.737108707427978516e-01,0.000000000000000000e+00,6.114485263824462891e-01
2.579357624053955078e-01,3.666572570800781250e-01,9.994506835937500000e-04,6.295938491821289062e-01
2.440667152404785156e-01,3.891904354095458984e-01,9.999275207519531250e-04,6.372566223144531250e-01
2.554299831390380859e-01,3.777050971984863281e-01,9.992122650146484375e-04,6.386463642120361328e-01
2.312843799591064453e-01,3.784270286560058594e-01,0.000000000000000000e+00,6.142165660858154297e-01
2.354364395141601562e-01,3.900833129882812500e-01,1.001596450805664062e-03,6.300318241119384766e-01
2.487144470214843750e-01,3.720853328704833984e-01,9.891986846923828125e-04,6.262631416320800781e-01
2.520740032196044922e-01,3.638813495635986328e-01,0.000000000000000000e+00,6.204607486724853516e-01
2.489483356475830078e-01,3.932542800903320312e-01,0.000000000000000000e+00,6.462314128875732422e-01
2.456233501434326172e-01,3.674652576446533203e-01,0.000000000000000000e+00,6.165919303894042969e-01
2.296452522277832031e-01,3.832888603210449219e-01,0.000000000000000000e+00,6.169354915618896484e-01
2.387669086456298828e-01,3.925979137420654297e-01,0.000000000000000000e+00,6.353738307952880859e-01
2.285218238830566406e-01,3.968491554260253906e-01,9.999275207519531250e-04,6.303722858428955078e-01
2.632095813751220703e-01,3.598444461822509766e-01,0.000000000000000000e+00,6.270999908447265625e-01
2.423491477966308594e-01,4.158473014831542969e-01,0.000000000000000000e+00,6.617021560668945312e-01
2.410254478454589844e-01,4.114115238189697266e-01,0.000000000000000000e+00,6.554377079010009766e-01
2.833940982818603516e-01,3.844544887542724609e-01,0.000000000000000000e+00,6.709856986999511719e-01
2.433130741119384766e-01,3.851106166839599609e-01,0.000000000000000000e+00,6.324253082275390625e-01
2.454698085784912109e-01,3.783493041992187500e-01,1.000404357910156250e-03,6.293134689331054688e-01
2.417166233062744141e-01,3.799738883972167969e-01,0.000000000000000000e+00,6.251995563507080078e-01
2.427158355712890625e-01,3.900549411773681641e-01,0.000000000000000000e+00,6.372725963592529297e-01
2.458977699279785156e-01,3.933372497558593750e-01,0.000000000000000000e+00,6.434834003448486328e-01
2.337787151336669922e-01,4.071247577667236328e-01,0.000000000000000000e+00,6.452090740203857422e-01
2.503228187561035156e-01,3.788158893585205078e-01,1.000881195068359375e-03,6.351571083068847656e-01
2.640154361724853516e-01,4.080688953399658203e-01,0.000000000000000000e+00,6.760463714599609375e-01
2.500643730163574219e-01,3.811941146850585938e-01,0.000000000000000000e+00,6.342568397521972656e-01
2.412474155426025391e-01,3.864657878875732422e-01,0.000000000000000000e+00,6.312167644500732422e-01
2.493672370910644531e-01,3.824088573455810547e-01,0.000000000000000000e+00,6.357765197753906250e-01
2.501158714294433594e-01,3.736550807952880859e-01,0.000000000000000000e+00,6.272747516632080078e-01
2.576103210449218750e-01,3.852190971374511719e-01,0.000000000000000000e+00,6.479785442352294922e-01
2.454266548156738281e-01,3.858251571655273438e-01,0.000000000000000000e+00,6.348452568054199219e-01
2.348573207855224609e-01,3.721249103546142578e-01,1.673698425292968750e-03,6.116521358489990234e-01
2.384958267211914062e-01,3.781440258026123047e-01,9.982585906982421875e-04,6.222262382507324219e-01
2.530381679534912109e-01,3.832378387451171875e-01,0.000000000000000000e+00,6.408331394195556641e-01
2.529237270355224609e-01,3.822562694549560547e-01,9.877681732177734375e-04,6.401617527008056641e-01
2.451806068420410156e-01,3.834247589111328125e-01,0.000000000000000000e+00,6.335847377777099609e-01
2.359397411346435547e-01,3.707325458526611328e-01,1.668214797973632812e-03,6.129479408264160156e-01
2.430896759033203125e-01,3.930461406707763672e-01,0.000000000000000000e+00,6.400940418243408203e-01
2.437400817871093750e-01,3.959810733795166016e-01,0.000000000000000000e+00,6.427216529846191406e-01
2.321500778198242188e-01,3.924255371093750000e-01,5.030632019042968750e-04,6.280789375305175781e-01
2.417249679565429688e-01,3.846018314361572266e-01,0.000000000000000000e+00,6.303300857543945312e-01
2.352116107940673828e-01,3.912324905395507812e-01,9.999275207519531250e-04,6.309478282928466797e-01
2.465534210205078125e-01,3.923623561859130859e-01,9.999275207519531250e-04,6.444246768951416016e-01
2.397723197937011719e-01,4.049217700958251953e-01,9.999275207519531250e-04,6.502008438110351562e-01
2.341437339782714844e-01,3.732612133026123047e-01,1.000642776489257812e-03,6.129138469696044922e-01
2.604765892028808594e-01,3.972156047821044922e-01,1.003026962280273438e-03,6.632018089294433594e-01
2.335700988769531250e-01,3.910436630249023438e-01,0.000000000000000000e+00,6.297457218170166016e-01
2.398767471313476562e-01,3.796057701110839844e-01,1.000404357910156250e-03,6.244826316833496094e-01
2.762029170989990234e-01,3.872737884521484375e-01,0.000000000000000000e+00,6.681842803955078125e-01
2.444827556610107422e-01,4.004788398742675781e-01,0.000000000000000000e+00,6.491456031799316406e-01
2.561519145965576172e-01,3.960959911346435547e-01,9.999275207519531250e-04,6.562480926513671875e-01
2.322564125061035156e-01,3.765938282012939453e-01,9.994506835937500000e-04,6.135637760162353516e-01
